Run_s	SRA_Sample_s	Sample_Name_s	age_s	dev_stage_s	replicate_s
SRR3110748	SRS1255579	AF_c		7 months post infection	Adult	Adult Female c
SRR3111433	SRS1256161	AF_d		7 months post infection	Adult	Adult Female d
SRR3111490	SRS1256196	AF_a		7 months post infection	Adult	Adult Female a
SRR3111494	SRS1256200	AF_b		7 months post infection	Adult	Adult Female b
SRR3111497	SRS1256207	AM_b		7 months post infection	Adult	Adult Male b
SRR3111501	SRS1256209	AM_a		7 months post infection	Adult	Adult Male a
SRR3111507	SRS1256215	E_a			18 days post infection	Embryo	Embryos a
SRR3111512	SRS1256217	E_b			18 days post infection	Embryo	Embryos b
SRR3111516	SRS1256222	3DPI_a		3 days post infection	L3	3 Dpi (mixed) a
SRR3111520	SRS1256226	3DPI_b		3 days post infection	L3	3 Dpi (mixed) b
SRR3111547	SRS1256269	4DPI_a		4 days post infection	L3	4 Dpi (mixed) a
SRR3111569	SRS1256283	4DPI_b		4 days post infection	L3	4 Dpi (mixed) b
SRR3111580	SRS1256286	8DPI_b		8 days post infection	L3/L4	8 Dpi (mixed) b
SRR3111577	SRS1256288	8DPI_a		8 days post infection	L3/L4	8 Dpi (mixed) a
SRR3111631	SRS1256331	20DPIM_b	20 days post infection	L4	20 Dpi (male) b
SRR3111628	SRS1256333	20DPIM_a	20 days post infection	L4	20 Dpi (male) a
SRR3111637	SRS1256334	20DPIF_b	24 days post infection	L4	24 Dpi (female) b
SRR3111635	SRS1256336	20DPIF_a	24 days post infection	L4	24 Dpi (female) a
SRR3111641	SRS1256340	7DPI_b		7 days post infection	MF	Immature MF b
SRR3111644	SRS1256342	60DPI_b		? 60 days post infection	MF	Mature MF b
SRR3111645	SRS1256342	60DPI_b		? 60 days post infection	MF	Mature MF b
SRR3111646	SRS1256343	V18HPI_a	18 hours post infection	MF/L1	18 Hpi (mixed) vector a
SRR5189259	SRS1256343	V18HPI_a	18 hours post infection	MF/L1	18 Hpi (mixed) vector a
SRR5189260	SRS1256343	V18HPI_a	18 hours post infection	MF/L1	18 Hpi (mixed) vector a
SRR3111656	SRS1256380	V18HPI_b	18 hours post infection	MF/L1	18 Hpi (mixed) vector b
SRR5189940	SRS1256380	V18HPI_b	18 hours post infection	MF/L1	18 Hpi (mixed) vector b
SRR3111732	SRS1256405	V4DPI_b		4 days post infection	L2	4 Dpi (mixed) vector b
SRR5189942	SRS1256405	V4DPI_b		4 days post infection	L2	4 Dpi (mixed) vector b
SRR3111730	SRS1256407	V4DPI_a		4 days post infection	L2	4 Dpi (mixed) vector a
SRR5189941	SRS1256407	V4DPI_a		4 days post infection	L2	4 Dpi (mixed) vector a
SRR3111735	SRS1256410	V8DPI_a		8 days post infection	L3	8 Dpi (mixed) vector a
SRR5190126	SRS1256410	V8DPI_a		8 days post infection	L3	8 Dpi (mixed) vector a
SRR5190127	SRS1256410	V8DPI_a		8 days post infection	L3	8 Dpi (mixed) vector a
SRR3111736	SRS1256411	V8DPI_b		8 days post infection	L3	8 Dpi (mixed) vector b
SRR5190125	SRS1256411	V8DPI_b		8 days post infection	L3	8 Dpi (mixed) vector b
SRR5092381	SRS1847463	1DPI_a		1 day post infection	L3	1 Dpi Mixed a
SRR5092382	SRS1847463	1DPI_a		1 day post infection	L3	1 Dpi Mixed a
SRR5098194	SRS1852611	1DPI_b		1 day post infection	L3	1 Dpi Mixed b
SRR5098195	SRS1852611	1DPI_b		1 day post infection	L3	1 Dpi Mixed b
SRR5098264	SRS1852673	2DPI_a		2 day post infection	L3	2 Dpi Mixed a
SRR5098265	SRS1852673	2DPI_a		2 day post infection	L3	2 Dpi Mixed a
SRR5099146	SRS1853496	7DPI_a		7 days post infection	MF	Immature MF a
SRR5099147	SRS1853496	7DPI_a		7 days post infection	MF	Immature MF a
SRR5099148	SRS1853497	60DPI_a		? 60 days post infection	MF	Mature MF a
SRR5099149	SRS1853497	60DPI_a		? 60 days post infection	MF	Mature MF a
SRR5099537	SRS1853870	2DPI_b		2 day post infection	L3	2 Dpi Mixed b
SRR5099538	SRS1853870	2DPI_b		2 day post infection	L3	2 Dpi Mixed b
